 _   Dist2Heave Score    _  (The Smaller The Better),,,,,,,,, _  P_opt Score    _  (The Bigerg The Better),,,,,,
Data\CLF,FFT_ACC,FFT_D2H,FFT_LOC,SL,NB,EM,SMO,,FFT_ACC,FFT_D2H,FFT_LOC,SL,NB,EM,SMO
@camel,0.64,0.36,1.00,0.71,0.54,0.39,1.00,,0.54,0.32,0.53,0.15,0.17,0.16,0.50
@ivy,0.23,0.21,1.00,0.49,0.32,1.00,0.37,,0.28,0.22,0.28,0.14,0.09,0.28,0.26
@jedit,0.37,0.39,0.50,0.32,0.33,0.24,0.43,,0.39,0.03,0.38,0.10,0.09,0.16,0.17
@log4j,0.33,0.29,0.89,0.56,0.52,0.62,0.46,,0.99,0.44,0.54,0.19,0.22,0.17,0.24
@lucene,0.22,0.25,1.00,0.32,0.38,0.39,1.00,,0.68,0.44,0.80,0.43,0.27,0.20,0.80
@poi,0.29,0.09,1.00,0.26,0.66,0.99,0.41,,0.42,0.62,0.74,0.55,0.19,0.33,0.64
@synapse,0.25,0.22,0.78,0.52,0.31,0.23,0.76,,0.48,0.33,0.47,0.26,0.24,0.22,0.22
@velocity,0.26,0.30,1.00,0.75,0.32,0.48,0.73,,0.52,0.40,0.64,0.64,0.64,0.24,0.60
@xalan,0.12,0.05,1.00,0.61,0.62,0.98,0.92,,1.00,0.56,1.00,0.11,0.15,1.00,0.51
@xerces,0.15,0.39,1.00,0.93,0.73,0.51,0.94,,0.94,0.62,0.94,0.04,0.10,0.16,0.48
,,,,,,,,,,,,,,,
@camel,0.54,0.32,0.53,0.15,0.17,0.16,0.50,,,,,,,,
@ivy,0.28,0.22,0.28,0.14,0.09,0.28,0.26,,,,,,,,
@jedit,0.39,0.03,0.38,0.10,0.09,0.16,0.17,,,,,,,,
@log4j,0.99,0.44,0.54,0.19,0.22,0.17,0.24,,,,,,,,
@lucene,0.68,0.44,0.80,0.43,0.27,0.20,0.80,,,,,,,,
@poi,0.42,0.62,0.74,0.55,0.19,0.33,0.64,,,,,,,,
@synapse,0.48,0.33,0.47,0.26,0.24,0.22,0.22,,,,,,,,
@velocity,0.52,0.40,0.64,0.64,0.64,0.24,0.60,,,,,,,,
@xalan,1.00,0.56,1.00,0.11,0.15,1.00,0.51,,,,,,,,
@xerces,0.94,0.62,0.94,0.04,0.10,0.16,0.48,,,,,,,,
  _  P_opt Score   _   (The Bigerg The Better),,,,,,,,,,,,,,,