data,Accuracy_build,Dist2Heaven_build,LOC_AUC_build,AVE-Build,Accuracy_eval,Dist2Heaven_eval,LOC_AUC_eval,AVE-Eval
@poi,12.46,11.03,13.79,12.4,2.8,2.61,2.75,2.7
@lucene,9.76,10.23,12.94,11,2.52,2.48,2.64,2.5
@camel,16.21,12.46,17.33,15.3,3.21,2.81,3.34,3.1
@log4j,9.21,10.15,10.02,9.8,2.64,2.38,2.47,2.5
@xerces,11.5,10.79,13.76,12,2.8,2.56,2.9,2.8
@velocity,10.48,10.1,11.19,10.6,2.45,2.37,2.49,2.4
@xalan,13.9,12.76,21.03,15.9,3.1,2.95,3.48,3.2
@ivy,9.79,9.49,10.63,10,2.38,2.32,2.46,2.4
@synapse,10.17,9.4,9.57,9.7,2.37,2.28,2.33,2.3
@jedit,11.08,11.2,10.92,11.1,2.73,2.75,2.63,2.7
Average,11.456,10.761,13.118,11.78,2.7,2.551,2.749,2.66